-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ORISSA,KORAPUT,POTANGI,1,0,0,0,1
ORISSA,KORAPUT,SEMILIGUDA,0,0,0,0,0
ORISSA,MALKANAGIRI,KALIMELA,0,3,1,0,4
ORISSA,MALKANAGIRI,KHAIRPUT,2,1,1,0,4
ORISSA,MALKANAGIRI,KORKONDA,0,30,17,12,59
ORISSA,MALKANAGIRI,KUDUMULUGUMMA,0,0,1,1,2
ORISSA,MALKANAGIRI,MALKANGIRI,0,4,1,1,6
ORISSA,MALKANAGIRI,MATHILI,4,8,3,0,15
ORISSA,MALKANAGIRI,PODIA,0,0,0,0,0
ORISSA,MAYURBHANJA,BADASAHI,46,21,6,2,75
ORISSA,MAYURBHANJA,BAHALADA,0,1,0,2,3
ORISSA,MAYURBHANJA,BANGIRIPOSI,49,65,57,17,188
ORISSA,MAYURBHANJA,BARIPADA,18,18,14,60,110
ORISSA,MAYURBHANJA,BETANATI,21,31,23,12,87
ORISSA,MAYURBHANJA,BIJATALA,1,1,1,10,13
ORISSA,MAYURBHANJA,BISOI,0,1,1,12,14
ORISSA,MAYURBHANJA,GOPABANDHUNAGAR,53,74,27,10,164
ORISSA,MAYURBHANJA,JAMADA,0,2,4,61,67
ORISSA,MAYURBHANJA,JASIPUR,0,2,13,3,18
ORISSA,MAYURBHANJA,KAPTIPADA,5,9,2,0,16
ORISSA,MAYURBHANJA,KARANJIA,1,0,0,1,2
ORISSA,MAYURBHANJA,KHUNTA,37,64,9,3,113
ORISSA,MAYURBHANJA,KULIANA,36,46,24,9,115
ORISSA,MAYURBHANJA,KUSUMI,1,0,1,31,33
ORISSA,MAYURBHANJA,MURUDA,6,5,6,59,76
ORISSA,MAYURBHANJA,RARUAN,4,3,0,1,8
ORISSA,MAYURBHANJA,RASAGOBINDAPUR,2,13,5,0,20
ORISSA,MAYURBHANJA,RIRANGAPUR,1,9,3,39,52
ORISSA,MAYURBHANJA,SAMAKHUNTA,25,44,25,28,122
ORISSA,MAYURBHANJA,SARASAKANA,23,26,21,2,72
ORISSA,MAYURBHANJA,SUKRULI,0,0,0,0,0
ORISSA,MAYURBHANJA,SULIAPADA,102,63,25,53,243
ORISSA,MAYURBHANJA,THAKURMUNDA,0,0,2,0,2
ORISSA,MAYURBHANJA,TIRING,0,0,3,1,4
