-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,CUDDAPAH,LINGALA,0,353,353,0,1620,1620,0,666,666
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,1,108,109,3,373,376,2,285,287
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,3,383,386,15,1002,1017,13,876,889
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,413,413,0,625,625,0,0,0
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,10,798,808,20,2573,2593,9,1363,1372
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,32,32,0,106,106,0,26,26
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,51,51,0,75,75,0,75,75
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,16,16,0,39,39,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,120,120,0,399,399,0,239,239
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,0,83,83,0,378,378,0,46,46
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,1,266,267,1,1297,1298,0,1,1
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,35,35,0,176,176,0,43,43
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,1,779,780,3,2091,2093,0,955,956
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,0,61,61,0,168,168,0,47,47
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,4,934,938,14,1989,2004,7,1151,1159
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,1559,1559,0,2579,2579,0,1079,1079
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,19,19,0,42,42,0,5,5
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,1,1653,1654,4,2050,2055,0,551,551
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,1,697,698,0,3481,3481,0,758,758
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,0,238,238,0,566,566,0,206,206
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,1462,1462,0,2128,2128,0,739,739
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,137,137,0,561,561,0,347,347
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,18,18,0,42,42,0,17,17
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,2,2,0,6,6,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,96,96,0,254,254,0,136,136
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,245,245,0,1156,1156,0,494,494
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,605,605,0,1329,1329,0,949,949
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,35,35,0,118,118,0,73,73
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,16,16,0,43,43,0,27,27
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,96,96,0,258,258,0,184,184
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,93,93,0,174,174,0,173,173
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,2,2,0,12,12,0,12,12
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,131,131,0,280,280,0,273,273
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,175,175,0,350,350,0,350,350
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,2,2,0,3,3,0,3,3
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,26,26,0,37,37,0,31,31
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,94,94,0,213,213,0,202,202
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,169,169,0,795,795,0,681,681
