-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.12.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.12.csv"
}
-----
State,District,Block,Total Number of Tubewells, Avg length of Pucca Channel,Avg length of Kuccha Channel,Avg length of Under gr. Channel
BIHAR,BUXAR,CHAUSA,780,1,64,1
BIHAR,BUXAR,DUMRAIN,1112,2,43,0
BIHAR,BUXAR,ITARHI,2815,1,43,0
BIHAR,BUXAR,KESATH,218,0,47,0
BIHAR,BUXAR,NAWANAGAR,1594,0,74,1
BIHAR,BUXAR,RAJPUR,2624,0,35,0
BIHAR,BUXAR,SIMRI,1265,0,97,0
BIHAR,CHAMPARAN EAST,ADAPUR,816,1,75,0
BIHAR,CHAMPARAN EAST,ARERAJ,772,0,103,1
BIHAR,CHAMPARAN EAST,BANJARIA,692,0,170,0
BIHAR,CHAMPARAN EAST,CHAKIYA,1766,0,51,0
BIHAR,CHAMPARAN EAST,CHAURADANO,1022,1,244,1
BIHAR,CHAMPARAN EAST,CHIRAIYA,1165,0,17,0
BIHAR,CHAMPARAN EAST,DHAKA,921,0,18,0
BIHAR,CHAMPARAN EAST,FENHARA,928,0,30,0
BIHAR,CHAMPARAN EAST,GHORASAHAN,1308,0,176,0
BIHAR,CHAMPARAN EAST,HARSIDHI,2094,0,86,0
BIHAR,CHAMPARAN EAST,KALYANPUR,1631,0,85,0
BIHAR,CHAMPARAN EAST,KESARIA,1391,0,333,0
BIHAR,CHAMPARAN EAST,KOTWA,928,0,100,0
BIHAR,CHAMPARAN EAST,MADHUBAN,1153,0,141,0
BIHAR,CHAMPARAN EAST,MEHSHI,1558,0,115,0
BIHAR,CHAMPARAN EAST,MOTIHARI,1979,0,177,0
BIHAR,CHAMPARAN EAST,PAHARPUR,1228,0,123,0
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,1754,0,82,0
BIHAR,CHAMPARAN EAST,PATAHI,1189,4,44,1
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,884,0,222,0
BIHAR,CHAMPARAN EAST,RAMGARHWA,627,0,530,0
BIHAR,CHAMPARAN EAST,RAXAUL,678,0,59,0
BIHAR,CHAMPARAN EAST,SANGRAMPUR,638,0,77,0
BIHAR,CHAMPARAN EAST,SUGAULI,1720,0,105,0
BIHAR,CHAMPARAN EAST,TETARIA,781,0,156,0
BIHAR,CHAMPARAN EAST,TURKAULIA,984,0,167,0
BIHAR,CHAMPARAN WEST,BAGAHA,1016,0,66,0
BIHAR,CHAMPARAN WEST,BAIRIA,1636,0,56,0
BIHAR,CHAMPARAN WEST,BETTIAN,900,0,93,0
BIHAR,CHAMPARAN WEST,BHITAHA,820,0,94,0
BIHAR,CHAMPARAN WEST,CHANPATIYA,1356,2,89,0
BIHAR,CHAMPARAN WEST,GAUNAHA,358,0,58,0
BIHAR,CHAMPARAN WEST,LAURIYA,1537,0,156,0
BIHAR,CHAMPARAN WEST,MADHUBANI,941,0,75,0
BIHAR,CHAMPARAN WEST,MAINATANR,1033,2,53,0
BIHAR,CHAMPARAN WEST,MAJHAWALIA,2974,0,64,0
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,1206,0,171,0
BIHAR,CHAMPARAN WEST,NAUTAN,1531,2,82,0
BIHAR,CHAMPARAN WEST,PIPRASI,357,0,59,0
BIHAR,CHAMPARAN WEST,RAMNAGAR,1376,1,83,0
BIHAR,CHAMPARAN WEST,SIDHAW,1084,0,133,0
BIHAR,CHAMPARAN WEST,SIKTA,783,0,78,0
BIHAR,CHAMPARAN WEST,THAKRAHA,761,0,72,0
BIHAR,CHAMPARAN WEST,YOGAPATTI,1489,0,87,0
BIHAR,CHATRA,CHATRA,10,0,8,0
BIHAR,CHATRA,HUNTERGANJ,43,11,72,0
BIHAR,CHATRA,PRATAP PUR,89,0,51,0
BIHAR,DARBHANGA,AUNAGAR,847,0,291,0
BIHAR,DARBHANGA,BAHADURPUR,784,0,96,0
BIHAR,DARBHANGA,BAHERI,1681,0,68,0
BIHAR,DARBHANGA,BENIPUR,724,0,129,0
BIHAR,DARBHANGA,BIRAUL,999,0,104,0
BIHAR,DARBHANGA,DARBHANGA,579,0,167,0
BIHAR,DARBHANGA,GHANSHYAMPUR,476,0,6,0
BIHAR,DARBHANGA,GORA BOURAM,518,0,11,0
BIHAR,DARBHANGA,HAYAGHAT,655,0,86,0
BIHAR,DARBHANGA,JALE,801,0,159,0
BIHAR,DARBHANGA,KEOTI(RANWAY),1029,1,43,0
BIHAR,DARBHANGA,KIRATPUR,219,0,0,0
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,142,0,39,0
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,329,0,40,0
BIHAR,DARBHANGA,MANIGACHHI,1132,0,85,0
BIHAR,DARBHANGA,SINGHWARA,969,0,284,0
BIHAR,DEOGHAR,DEOGHAR,1,0,20,0
BIHAR,DHANBAD,BAGHMARA,1,0,0,0
BIHAR,DHANBAD,TOPCHACHI,4,0,49,0
BIHAR,GAYA,AMAS,162,0,129,3
BIHAR,GAYA,ATARI,897,0,49,0
BIHAR,GAYA,BANROYBAZAR,426,0,124,0
BIHAR,GAYA,BARACHATTI,189,0,111,0
BIHAR,GAYA,BELAGANJ,2191,0,79,0
BIHAR,GAYA,BODHGAYA,2567,9,133,1
BIHAR,GAYA,DOBBI,352,13,49,2
BIHAR,GAYA,DUMARIA,304,1,138,0
BIHAR,GAYA,FETHPUR,770,2,98,0
BIHAR,GAYA,GARARU,1259,0,6,0
BIHAR,GAYA,GAYA SADAR,1042,1,49,3
BIHAR,GAYA,GURUA,1099,0,76,0
BIHAR,GAYA,IMAMGANJ,557,0,83,0
BIHAR,GAYA,KHIZIRSORAI,2855,0,56,0
BIHAR,GAYA,KONCH,1840,1,117,1
BIHAR,GAYA,MANPUR,672,1,123,0
BIHAR,GAYA,MOHANPUR,237,2,81,0
BIHAR,GAYA,NIMCHAK BATHANI,968,0,40,0
BIHAR,GAYA,PARAIYA,712,10,95,1
BIHAR,GAYA,SHERGHATI,1119,0,26,0
BIHAR,GAYA,TANKUPPA,728,0,131,0
BIHAR,GAYA,TEKARI,2493,5,41,0
BIHAR,GAYA,WAZGANJ,1258,1,142,1
BIHAR,GIRIDIH,BIRNI,2,0,23,0
BIHAR,GIRIDIH,GANDEY,2,0,100,0
BIHAR,GIRIDIH,GAWAN,318,0,110,0
BIHAR,GIRIDIH,TISRI,47,0,31,0
BIHAR,GODDA,BOARIJORE,6,0,13,0
BIHAR,GODDA,GODDA,209,0,101,0
BIHAR,GODDA,MAHAGAMA,85,0,55,0
BIHAR,GODDA,PATHARGAMA,314,0,141,0
BIHAR,GOPALGANJ,BAIKUNTHPUR,1738,0,167,0
BIHAR,GOPALGANJ,BARAULI,1503,0,139,0
BIHAR,GOPALGANJ,BHOREY,1730,1,103,0
BIHAR,GOPALGANJ,BIJAIPUR,1160,1,113,0
BIHAR,GOPALGANJ,GOPALGANJ,1555,0,120,0
BIHAR,GOPALGANJ,HATHUA,816,0,197,0
BIHAR,GOPALGANJ,KATAIYA,1087,0,73,0
BIHAR,GOPALGANJ,KUCHAIKOTE,1579,1,152,0
BIHAR,GOPALGANJ,MANJHA,1261,0,112,0
BIHAR,GOPALGANJ,PHULWARIYA,952,0,123,1
BIHAR,GOPALGANJ,PUNCHDEORI,586,0,49,1
BIHAR,GOPALGANJ,SIDHWALIA,1082,8,150,0
BIHAR,GOPALGANJ,THAWE,707,0,440,0
BIHAR,GOPALGANJ,UCHKAGAON,1424,0,86,0
BIHAR,HAZARIBAG,ICHAK,3,50,300,0
BIHAR,JAMUI,ALIGANJ,458,2,151,35
BIHAR,JAMUI,BARHAT,61,0,137,0
BIHAR,JAMUI,GIDHOUR,249,1,57,0
BIHAR,JAMUI,JAMUI,1296,1,28,1
BIHAR,JAMUI,JHAJHA,125,3,45,0
BIHAR,JAMUI,KHAIRA,498,3,91,0
BIHAR,JAMUI,SIKANDRA,216,0,54,1
BIHAR,JAMUI,SONO,250,2,20,0
BIHAR,JEHANABAD,ARWAL,810,0,125,0
BIHAR,JEHANABAD,BANSI SURUJPUR,1157,0,71,0
BIHAR,JEHANABAD,GHOSI,3490,4,168,0
BIHAR,JEHANABAD,JEHANABAD,2111,2,37,0
BIHAR,JEHANABAD,KAKU,2097,0,25,0
BIHAR,JEHANABAD,KALEV,321,0,200,0
BIHAR,JEHANABAD,KARPI,2199,2,98,1
BIHAR,JEHANABAD,KURTHA,1553,0,92,0
BIHAR,JEHANABAD,MAKHDOMPUR,2711,1,159,0
BIHAR,JEHANABAD,RATNI FARIDPUR,1376,0,83,0
BIHAR,KATIHAR,AMDABAET,1052,0,144,0
BIHAR,KATIHAR,AZAMNAGAR,3670,0,252,0
BIHAR,KATIHAR,BALRAMPUR,1725,0,77,0
BIHAR,KATIHAR,BANPUR,1263,0,94,0
BIHAR,KATIHAR,BARARI,2171,0,148,0
BIHAR,KATIHAR,BARSOI,2741,0,80,0
BIHAR,KATIHAR,DANDKHORA,954,0,209,0
BIHAR,KATIHAR,FALKA,841,0,62,0
BIHAR,KATIHAR,HASANGANJ,698,0,141,0
BIHAR,KATIHAR,KADWA,2950,0,102,0
BIHAR,KATIHAR,KATIHAR,723,0,116,0
BIHAR,KATIHAR,KORHA,2799,0,106,33
BIHAR,KATIHAR,KURSELA,481,0,129,0
BIHAR,KATIHAR,MANIHARI,1400,0,116,0
BIHAR,KATIHAR,MANSHAHI,530,0,50,0
BIHAR,KATIHAR,SAMELI,520,0,154,0
BIHAR,KHAGARIA,ALAULI,1937,0,146,0
BIHAR,KHAGARIA,BELDAUR,1541,0,116,0
BIHAR,KHAGARIA,CHAUTHAM,1818,0,190,0
BIHAR,KHAGARIA,GOGRI,1373,0,143,0
BIHAR,KHAGARIA,KHAGARIA,1898,1,216,0
BIHAR,KHAGARIA,MANSI,649,0,239,0
BIHAR,KHAGARIA,PARBATTA,1492,0,101,0
BIHAR,KISHANGANJ,BAHADURGANJ,1254,0,119,0
BIHAR,KISHANGANJ,DHIGHATBANK,994,0,170,0
BIHAR,KISHANGANJ,KISHANGANJ,1457,1,294,0
BIHAR,KISHANGANJ,KOCHADHAMIN,1783,0,45,0
BIHAR,KISHANGANJ,POTHIA,853,0,107,0
BIHAR,KISHANGANJ,TERHAGACHH,1213,0,162,0
BIHAR,KISHANGANJ,THAKURGANJ,1393,0,164,0
BIHAR,KODARMA,SATGAWAN,214,0,136,39
BIHAR,LAKHISARAI,BARAHIYA,670,1,71,0
BIHAR,LAKHISARAI,HALSI,1038,1,55,0
BIHAR,LAKHISARAI,LOKHISARAI,1805,0,106,1
BIHAR,LAKHISARAI,PIPARIA,120,0,99,0
BIHAR,LAKHISARAI,SURAJGARA,803,8,169,0
BIHAR,MADHEPURA,ALAMNAGAR,1345,0,103,0
BIHAR,MADHEPURA,BIHARIGANJ,518,0,449,0
BIHAR,MADHEPURA,CHAUSA,1690,0,55,0
BIHAR,MADHEPURA,GAWALPARA,854,0,456,0
BIHAR,MADHEPURA,KUMAR KHAND,2403,0,242,0
BIHAR,MADHEPURA,MADHEPURA,2212,0,557,0
BIHAR,MADHEPURA,MURLIGANJ,1754,0,56,0
BIHAR,MADHEPURA,PURAINI,731,0,60,0
BIHAR,MADHEPURA,SHANKERPUR,548,0,31,0
BIHAR,MADHEPURA,SINGHESWAR,994,0,41,0
BIHAR,MADHEPURA,UDA KISHANGANJ,1125,0,129,0
BIHAR,MADHUBANI,ANDHARADATHI,281,0,401,0
BIHAR,MADHUBANI,BABUBARHI,568,0,214,0
BIHAR,MADHUBANI,BASOPATTI,869,0,85,0
BIHAR,MADHUBANI,BENIPATTI,771,1,74,0
BIHAR,MADHUBANI,BISFI,844,0,91,0
BIHAR,MADHUBANI,GHOGARDIHA,378,0,0,0
BIHAR,MADHUBANI,HARLAKHI,312,0,107,0
BIHAR,MADHUBANI,JAITYAGAR,1190,0,41,0
BIHAR,MADHUBANI,JHANJHARPUR,635,5,448,0
BIHAR,MADHUBANI,KHAJAULI,1438,0,75,0
BIHAR,MADHUBANI,LADANIA,856,0,141,0
BIHAR,MADHUBANI,LAKHNAUR,500,0,43,0
BIHAR,MADHUBANI,LAUKAHA,235,0,60,0
BIHAR,MADHUBANI,LAUKAHI,1176,0,196,0
BIHAR,MADHUBANI,MADHAWAPUR,513,0,50,0
BIHAR,MADHUBANI,MADUBANI,472,0,42,0
BIHAR,MADHUBANI,MEDEPUR,796,0,176,0
BIHAR,MADHUBANI,PANDAUL,1194,1,53,0
BIHAR,MADHUBANI,PHULPARAS,640,0,32,0
BIHAR,MADHUBANI,RAJNAGAR,726,0,39,0
BIHAR,MUNGER,BARIAPUR,69,1,138,0
BIHAR,MUNGER,DHARHARA,261,0,196,0
BIHAR,MUNGER,JAMALPUR,90,0,113,0
BIHAR,MUNGER,KHARAGPUR,358,0,70,0
BIHAR,MUNGER,MUNGER,352,0,25,0
BIHAR,MUNGER,SANGRAMPUR,605,0,259,0
BIHAR,MUNGER,TARAPUR,934,8,22,0
BIHAR,MUNGER,TETIA BUMBER,432,0,58,0
BIHAR,MUZAFFARPUR,AURAI,1680,0,361,0
BIHAR,MUZAFFARPUR,BANDRA,1008,0,27,0
BIHAR,MUZAFFARPUR,BOCHAHA,2176,0,172,0
BIHAR,MUZAFFARPUR,GAIGHAT,1561,0,189,0
BIHAR,MUZAFFARPUR,KANTI,2204,1,187,0
BIHAR,MUZAFFARPUR,KATRA,1660,0,33,0
BIHAR,MUZAFFARPUR,KURHANI,3917,0,139,0
BIHAR,MUZAFFARPUR,MINAPUR,3371,0,259,0
BIHAR,MUZAFFARPUR,MORAUL,887,0,20,0
BIHAR,MUZAFFARPUR,MOTIPUR,391,0,92,0
BIHAR,MUZAFFARPUR,MUSHAHARI,1625,0,257,0
BIHAR,MUZAFFARPUR,PAROO,2267,0,258,1
BIHAR,MUZAFFARPUR,SAHEBGANJ,2153,0,161,0
BIHAR,MUZAFFARPUR,SAKRA,3403,0,161,1
BIHAR,MUZAFFARPUR,SARAIYA,2593,0,18,0
BIHAR,NALANDA,ASTHAWAN,925,0,45,0
BIHAR,NALANDA,BEN,442,4,105,0
BIHAR,NALANDA,BIHARSARIF,704,2,148,8
BIHAR,NALANDA,BIND,827,2,60,0
BIHAR,NALANDA,CHANDI,1014,2,89,0
BIHAR,NALANDA,EKANGARSARAI,1014,6,49,0
BIHAR,NALANDA,GIRIAK,950,1,87,0
BIHAR,NALANDA,HARNAUT,1233,3,21,0
BIHAR,NALANDA,HILSA,1754,0,21,0
BIHAR,NALANDA,ISLAMPUR,1170,0,97,0
BIHAR,NALANDA,KARAI PARSURAI,720,3,58,0
BIHAR,NALANDA,KATRISARAI,347,0,84,0
BIHAR,NALANDA,NAGAR NAUSA,1052,3,74,1
BIHAR,NALANDA,NOORSARAI,137,5,88,0
BIHAR,NALANDA,PARWALPUR,340,1,21,0
BIHAR,NALANDA,RAHUI,980,0,34,5
BIHAR,NALANDA,RAJGIR,842,1,109,4
BIHAR,NALANDA,SARMERA,1137,0,48,0
BIHAR,NALANDA,SILAO,650,0,114,1
BIHAR,NALANDA,THARTHARI,371,2,64,0
BIHAR,NAWADA,AKBARPUR,2108,1,116,16
BIHAR,NAWADA,GOBINDPUR,580,0,61,0
BIHAR,NAWADA,HISUA,817,0,23,0
BIHAR,NAWADA,KANWAKOL,680,0,46,0
BIHAR,NAWADA,KASHICHOK,269,0,123,0
BIHAR,NAWADA,MESKAUR,619,7,94,4
BIHAR,NAWADA,NARDIGANJ,1145,10,60,0
BIHAR,NAWADA,NARHAT,1283,0,34,0
BIHAR,NAWADA,NAWADA,2041,0,66,4
BIHAR,NAWADA,PAKRIWARAMA,1660,0,33,0
BIHAR,NAWADA,RAJANLI,1275,1,99,0
BIHAR,NAWADA,ROH,1137,7,57,0
BIHAR,NAWADA,SIRDOLA,961,1,114,1
BIHAR,NAWADA,WARSHALAGANJ,1326,0,42,0
BIHAR,PAKUR,MAHESHPUR,156,0,126,0
BIHAR,PAKUR,PAKUR,45,0,56,1
BIHAR,PATNA,ATHMAL GOLA,528,0,41,0
BIHAR,PATNA,BAKHTIARPUR,1184,1,57,0
BIHAR,PATNA,BARH,976,5,50,1
BIHAR,PATNA,BELCHI,620,15,54,0
BIHAR,PATNA,BIHTA,1783,10,145,3
BIHAR,PATNA,BIKRAM,849,0,22,0
BIHAR,PATNA,DANAPUR,704,2,80,2
BIHAR,PATNA,DANIAWAN,256,14,285,1
BIHAR,PATNA,DHANARUA,2855,0,60,3
BIHAR,PATNA,DULHAN BAZAR,633,0,90,0
BIHAR,PATNA,FATUHA,821,1,258,8
BIHAR,PATNA,GHOSWARI,539,0,81,1
BIHAR,PATNA,KHUSRUPUR,796,4,520,0
BIHAR,PATNA,MANER,823,5,172,0
BIHAR,PATNA,MASAURHI,1803,2,54,0
BIHAR,PATNA,MOKAMAH,725,0,133,0
BIHAR,PATNA,NAUBATPUR,1669,0,71,0
BIHAR,PATNA,PALIGANJ,1351,0,12,0
BIHAR,PATNA,PANDARAK,857,0,22,0
BIHAR,PATNA,PATNA SADAR,559,0,35,0
BIHAR,PATNA,PHULWARISARIF,976,1,72,1
BIHAR,PATNA,PUNPUN,1131,91,110,0
BIHAR,PATNA,SAMPATCHAK,1011,0,74,0
BIHAR,PURNIA,AMOUR,2074,0,194,0
BIHAR,PURNIA,BAISA,1951,3,195,0
BIHAR,PURNIA,BAISI,1690,0,23,0
BIHAR,PURNIA,BAMNANKHI,2484,0,83,0
BIHAR,PURNIA,BARAHARAKOTHI,971,0,41,0
BIHAR,PURNIA,BHAWANIPUR,1686,0,89,0
BIHAR,PURNIA,DAGARUA,1581,1,65,0
BIHAR,PURNIA,DHAMDAHA,1625,0,129,0
BIHAR,PURNIA,JALALGARH,945,0,77,0
BIHAR,PURNIA,KASBA,1301,0,72,0
BIHAR,PURNIA,KRITYANANDNAGAR,2746,0,84,0
BIHAR,PURNIA,PURNIA EAST,1643,0,118,0
BIHAR,PURNIA,RUPAULI,2579,0,68,0
BIHAR,PURNIA,SOINAGAR,808,0,85,0
BIHAR,RANCHI,BERO,3,0,0,0
BIHAR,RANCHI,MANDAR,76,0,59,0
BIHAR,RANCHI,TAMAR,2,0,0,0
BIHAR,RANCHI,TORPA,9,0,0,0
BIHAR,ROHTAS,AKORHIGOLA,806,0,26,2
BIHAR,ROHTAS,BIKRAMGANJ,836,0,39,0
BIHAR,ROHTAS,CHENARI,431,2,31,0
BIHAR,ROHTAS,DAWATH,388,0,85,1
BIHAR,ROHTAS,DEHRI,1935,3,71,0
BIHAR,ROHTAS,DINARA,1690,0,25,3
BIHAR,ROHTAS,KARAKAT,808,0,24,0
BIHAR,ROHTAS,KARGHAHAR,2806,0,16,0
BIHAR,ROHTAS,KUCHAI,1347,0,18,0
BIHAR,ROHTAS,NASHRIGANJ,487,0,21,0
BIHAR,ROHTAS,NAWHATTA,44,0,0,0
BIHAR,ROHTAS,NOKHA,528,0,78,0
BIHAR,ROHTAS,RAJPUR,314,0,17,0
BIHAR,ROHTAS,ROHTAS,568,1,52,0
BIHAR,ROHTAS,SANJHANLI,321,1,27,0
BIHAR,ROHTAS,SASARAM,949,1,42,0
BIHAR,ROHTAS,SHEOSAGAR,911,0,17,0
BIHAR,ROHTAS,SURJPURA,209,8,0,0
BIHAR,ROHTAS,TELAUTHU,1931,0,80,0
BIHAR,SAHARSA,BANMA ITAHARI,366,0,66,2
BIHAR,SAHARSA,KAHRA,1019,0,45,0
BIHAR,SAHARSA,MAHISHI,1056,0,110,0
BIHAR,SAHARSA,NAUHATTA,1280,0,66,0
BIHAR,SAHARSA,PATARGHAT,548,0,225,0
BIHAR,SAHARSA,SALAKHUA,848,0,99,2
BIHAR,SAHARSA,SATTAR KATAIYA,1844,0,14,0
BIHAR,SAHARSA,SAUR BAZAR,953,0,245,0
BIHAR,SAHARSA,SIMORI BAKHTIARPUR,877,0,116,0
BIHAR,SAHARSA,SONBARSA,1020,0,160,0
BIHAR,SAHEBGANJ,BARHAIT,1,0,800,0
BIHAR,SAHEBGANJ,BARHARWA,56,0,71,0
BIHAR,SAHEBGANJ,MANDRO,2,0,5,0
BIHAR,SAHEBGANJ,RAJMAHAL,226,0,95,0
BIHAR,SAHEBGANJ,SAHEBGANJ,700,0,8,0
BIHAR,SAHEBGANJ,UDHUWA,779,0,50,0
BIHAR,SAMASTIPUR,BIBHUTIPUR,2762,1,72,0
BIHAR,SAMASTIPUR,BITHAN,970,0,48,0
BIHAR,SAMASTIPUR,DALSINGHSARAI,1672,0,331,0
BIHAR,SAMASTIPUR,HASANPUR,1580,2,57,0
BIHAR,SAMASTIPUR,KALYANPUR,2609,0,121,0
BIHAR,SAMASTIPUR,KHANPUR,1157,0,110,0
BIHAR,SAMASTIPUR,MOHANPUR,330,41,167,616
BIHAR,SAMASTIPUR,MOHIUDDIN NAGAR,1169,0,214,0
BIHAR,SAMASTIPUR,MORWA,1712,0,203,0
BIHAR,SAMASTIPUR,PATORI,1136,0,227,324
BIHAR,SAMASTIPUR,PUSA,1130,1,167,0
BIHAR,SAMASTIPUR,ROSERA,1270,0,85,0
BIHAR,SAMASTIPUR,SAMASTIPUR,1803,0,215,1
BIHAR,SAMASTIPUR,SARAIRANJAN,1677,0,154,0
BIHAR,SAMASTIPUR,SHIWAJINAGAR,1571,0,127,0
BIHAR,SAMASTIPUR,SINGHIYA,915,0,180,0
BIHAR,SAMASTIPUR,TAJPUR,1543,0,205,1
BIHAR,SAMASTIPUR,UJIARPUR,2290,0,114,0
BIHAR,SAMASTIPUR,VIDHAYAPATI NAGAR,1413,1,203,0
BIHAR,SAMASTIPUR,WARISNAGAR,1131,0,105,1
BIHAR,SARAN,AMNOUR,1905,0,146,0
BIHAR,SARAN,BANIAPUR,715,4,137,0
BIHAR,SARAN,CHAPRA,944,0,24,1
BIHAR,SARAN,DARIYAPUR,2052,2,99,0
BIHAR,SARAN,DIGHWARA,704,4,105,0
BIHAR,SARAN,EKMA,1438,0,272,0
BIHAR,SARAN,GARKHA,1814,1,137,0
BIHAR,SARAN,ISUAPUR,1045,1,77,0
BIHAR,SARAN,JALALPUR,1523,0,83,1
BIHAR,SARAN,LAHLADPUR JANTA BAZA,317,0,132,0
BIHAR,SARAN,MAKER,601,0,51,0
BIHAR,SARAN,MANJHI,1784,1,103,0
BIHAR,SARAN,MARHAURA,2401,0,151,0
BIHAR,SARAN,MASARAKH,1674,0,53,0
BIHAR,SARAN,NAGRA,846,0,162,0
BIHAR,SARAN,PANAPUR,1037,0,114,1
BIHAR,SARAN,PARSA,1322,0,48,1
BIHAR,SARAN,RIVILGANJ,520,1,59,1
BIHAR,SARAN,SONEPUR,737,0,102,0
BIHAR,SARAN,TARAIYA,1012,0,49,0
BIHAR,SHEIKHPURA,ARIARI,1311,0,54,0
BIHAR,SHEIKHPURA,BARBIGHA,1134,0,540,0
BIHAR,SHEIKHPURA,CHEBARA,982,0,67,0
BIHAR,SHEIKHPURA,GHAT-KHUSUMBA,278,0,74,0
BIHAR,SHEIKHPURA,SHEIKHPURA,1016,0,76,0
BIHAR,SHEIKHPURA,SHEKHOPURSARAI,625,0,39,0
BIHAR,SHEOHAR,DUMARI KATSARI,476,1,357,0
BIHAR,SHEOHAR,PIPRAHI,925,0,116,0
BIHAR,SHEOHAR,PURNAHIA,682,0,61,0
BIHAR,SHEOHAR,SHEOHAR,1388,0,111,0
BIHAR,SHEOHAR,TARIYANI,985,0,61,1
BIHAR,SINGHBHUM EAST,BAHARAGORA,811,0,187,0
BIHAR,SINGHBHUM EAST,CHAKULIA,463,0,42,0
BIHAR,SINGHBHUM EAST,DHALBHUMGARH,4,0,159,0
BIHAR,SINGHBHUM WEST,JAGNNATHPUR,11,0,0,0
BIHAR,SINGHBHUM WEST,SARAIKELA,4,0,0,0
BIHAR,SITAMARHI,BAIRBANJYA,826,0,91,0
BIHAR,SITAMARHI,BAJAPATTI,701,1,144,0
BIHAR,SITAMARHI,BATHNAHA,2292,0,112,0
BIHAR,SITAMARHI,BELSAND,639,0,89,0
BIHAR,SITAMARHI,BOKHARA,536,0,84,0
BIHAR,SITAMARHI,CHURAUT,250,0,83,0
BIHAR,SITAMARHI,DUMRA,1367,1,61,0
BIHAR,SITAMARHI,MEJARGANJ,931,0,53,0
BIHAR,SITAMARHI,NANPUR,753,1,89,0
BIHAR,SITAMARHI,PARIHAR,472,0,105,0
BIHAR,SITAMARHI,PARSAUNI,647,0,126,0
BIHAR,SITAMARHI,PUPARI,577,3,80,0
BIHAR,SITAMARHI,RIGA,968,0,180,0
BIHAR,SITAMARHI,RUNISAIDPUR,1782,0,137,0
BIHAR,SITAMARHI,SONBARSA,1011,0,129,1
BIHAR,SITAMARHI,SUPPI,944,0,46,0
BIHAR,SITAMARHI,SURSAND,216,0,106,0
BIHAR,SIWAN,ANDAR,1643,0,368,0
BIHAR,SIWAN,BARHARIA,2398,1,124,0
BIHAR,SIWAN,BASANTPUR,701,3,218,0
BIHAR,SIWAN,BHAGWANPUR GHAT,1714,0,151,0
BIHAR,SIWAN,DARAULI,1926,0,135,0
BIHAR,SIWAN,DARAUNDHA,2116,0,50,0
BIHAR,SIWAN,GORAIKOTHI,1301,0,175,0
BIHAR,SIWAN,GUTHANI,1449,2,247,0
BIHAR,SIWAN,HUSSAINGANJ,1773,0,110,0
BIHAR,SIWAN,LAKRI NABIGANJ,995,3,207,5
BIHAR,SIWAN,MAHRAJGANJ,1699,0,73,0
BIHAR,SIWAN,MAIRWA,1961,1,311,0
BIHAR,SIWAN,PACHRUKHI,2146,0,20,0
BIHAR,SIWAN,RAGHUNATHPUR,1566,5,80,0
BIHAR,SIWAN,SISWAN,1596,0,138,0
BIHAR,SIWAN,SIWAN,1893,0,199,0
BIHAR,SUPAUL,BASANTPUR,1253,0,268,0
BIHAR,SUPAUL,CHHATAPUR,1187,0,60,0
BIHAR,SUPAUL,KISHANPUR,1668,0,283,4
BIHAR,SUPAUL,MARAUNA,1078,0,80,0
BIHAR,SUPAUL,NIRMALI,430,0,133,0
BIHAR,SUPAUL,PIPRA,1701,0,194,0
BIHAR,SUPAUL,PRATAPGANJ,597,0,34,0
BIHAR,SUPAUL,RAGHOPUR,640,0,64,0
BIHAR,SUPAUL,SUPAUL,2878,0,241,0
BIHAR,SUPAUL,TRIBANIGANJ,1906,0,1184,0
BIHAR,VAISHALI,BHAGWANPUR,1264,3,124,1
BIHAR,VAISHALI,BIDUPUR,1275,2,90,0
BIHAR,VAISHALI,CHEHRALALA,798,0,77,0
BIHAR,VAISHALI,GORAUL,932,1,59,0
BIHAR,VAISHALI,HAJIPUR,1716,0,120,4
BIHAR,VAISHALI,JANDAHA,1866,0,144,0
BIHAR,VAISHALI,LALGANJ,1463,3,279,0
BIHAR,VAISHALI,MAHNAR,737,1,114,0
BIHAR,VAISHALI,MAHUA,2405,6,55,0
BIHAR,VAISHALI,PATEHRIBELSAR,629,0,155,0
BIHAR,VAISHALI,PATEPUR,2772,1,130,0
BIHAR,VAISHALI,PREMRAJ,664,3,243,0
BIHAR,VAISHALI,RAGHOPUR,1221,0,149,0
BIHAR,VAISHALI,RAJAPAKAR,1013,0,72,0
BIHAR,VAISHALI,SAHDAI BUZURG,1457,0,132,0
BIHAR,VAISHALI,VAISHALI,1224,3,143,0
GOA,NORTH GOA,SATARI,20,0,4,74
GOA,SOUTH GOA,CANACONA,4,0,24,0
GOA,SOUTH GOA,MORMUGAO,2,0,50,100
