-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MADHYA PRADESH","MORENA",26,14323,14349,116,79249,79365,114,68390,68504
"MADHYA PRADESH","NARSINGHPUR",17,11424,11441,41,39542,39583,32,33853,33886
"MADHYA PRADESH","NEEMUCH",632,34402,35034,1337,57475,58812,580,28782,29362
"MADHYA PRADESH","PANNA",148,6544,6692,378,13291,13669,369,12619,12988
"MADHYA PRADESH","RAISEN",6,10397,10403,15,28672,28687,7,22488,22495
"MADHYA PRADESH","RAJGARH",273,62409,62682,516,123914,124430,290,62462,62752
"MADHYA PRADESH","RATLAM",792,24475,25267,1771,64516,66287,443,17112,17555
"MADHYA PRADESH","REWA",1,11727,11728,2,50540,50542,1,23910,23911
"MADHYA PRADESH","SAGAR",18,43464,43482,35,86517,86553,35,73730,73765
"MADHYA PRADESH","SATNA",10,18080,18090,38,46183,46221,26,32273,32299
"MADHYA PRADESH","SEHORE",21,24556,24577,81,73727,73808,42,50010,50052
"MADHYA PRADESH","SEONI",199,18212,18411,5437,56057,61494,4820,43744,48564
"MADHYA PRADESH","SHAHDOL",10,4160,4170,41,4528,4569,14,2803,2817
"MADHYA PRADESH","SHAJAPUR",180,44593,44773,355,92638,92993,194,49763,49957
"MADHYA PRADESH","SHEOPUR",314,3478,3792,691,7837,8528,691,7821,8512
"MADHYA PRADESH","SHIVPURI",3873,36624,40497,7610,279186,286796,6372,66334,72705
"MADHYA PRADESH","SIDHI",22,12238,12260,101,61461,61562,97,47986,48084
"MADHYA PRADESH","TIKAMGARH",95,58479,58574,713,174556,175269,650,149825,150475
"MADHYA PRADESH","UJJAIN",104,21293,21397,311,52093,52404,132,23274,23406
"MADHYA PRADESH","UMARIA",2,2341,2343,9,5263,5272,9,4118,4127
"MADHYA PRADESH","VIDISHA",33,15566,15599,107,45108,45215,82,35569,35651
"MAHARASHTRA","AHMEDNAGAR",2500,140600,143100,9599,399636,409235,8952,365527,374479
"MAHARASHTRA","AKOLA",17,18712,18729,41,44523,44563,40,24754,24795
"MAHARASHTRA","AMRAVATI",31,63760,63791,107,147421,147528,60,112377,112437
"MAHARASHTRA","AURANGABAD",131,78549,78680,417,331525,331942,168,160146,160314
