-----
{
 "description": "The table refers to block wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.8.csv", 
 "title": "Download CSV for Block wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,63,0,0,63
ANDHRA PRADESH,GUNTUR,IPUR,0,0,14,0,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,0,0,66,0,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,0,0,40,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1,4,1670,0,0,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,2,2,2528,0,1,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,4,0,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,1,0,89,0,18,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,890,0,0,890
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,0,0,20,0,13,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,3,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,0,5,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,0,0,56,0,1,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,88,1,0,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,0,5,0,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,0,1,942,0,18,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,0,21,0,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,24,1,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,0,0,29,0,0,29
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,88,0,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,0,6,0,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,0,5,1014,0,0,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,4,0,19,0,304,327
ANDHRA PRADESH,GUNTUR,TENALI,0,0,859,0,0,859
ANDHRA PRADESH,GUNTUR,THULLUR,4,0,2049,0,2,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,2,0,530,0,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,0,0,98,0,315,413
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,534,0,0,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,17,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,0,0,7,50,57
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,0,1,13,0,0,14
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,0,0,10,0,0,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,1,0,0,0,18,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,11,27,4,42
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,0,0,1,0,0,1
