-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Temporary Diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1,0,1,43,0,43,16,0,16
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,2,0,2,8,0,8,6,0,6
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,1,14,15,15,15,31,0,0,0
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,0,0,0,0,0,0,0,0
