-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.14.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.14.csv"
}
-----
"State","District","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"UTTAR PRADESH","RAEBARELY",1,4,0,0,5
"UTTAR PRADESH","SANT RAVIDAS NAGAR",43,55,1,2,101
"UTTAR PRADESH","TEHRI GARHWAL",53,62,0,0,115
"UTTAR PRADESH","UDHAMSINGH NAGAR",578,432,134,22,1166
"UTTAR PRADESH","UTTARKASHI",76,70,0,2,148
"UTTAR PRADESH","VARANASI",4749,3986,9,50,8794
"WEST BENGAL","BANKURA",7699,6551,189,1454,15893
"WEST BENGAL","BIRBHUM",12185,20252,1812,2427,36676
"WEST BENGAL","BURDWAN",10396,10587,500,5008,26491
"WEST BENGAL","COOCHBEHAR",1342,2159,12,611,4124
"WEST BENGAL","DAKSHIN DINAJPUR",3367,5121,210,2796,11494
"WEST BENGAL","DARJEELING",42,101,1214,2,1359
"WEST BENGAL","HOOGLY",13282,14417,77,6024,33800
"WEST BENGAL","HOWRAH",3947,14933,681,3945,23506
"WEST BENGAL","JALPAIGURI",841,2842,1895,2736,8314
"WEST BENGAL","MALDA",4630,4301,168,3967,13066
"WEST BENGAL","MIDNAPORE",13881,27470,923,9468,51742
"WEST BENGAL","MURSHIDABAD",6938,9256,979,3202,20375
"WEST BENGAL","NADIA",3364,3329,597,1867,9157
"WEST BENGAL","NORTH 24 PARGANAS",2321,2128,67,1782,6298
"WEST BENGAL","PURULIA",1292,1162,118,104,2676
"WEST BENGAL","SOUTH 24 PARGANAS",3820,10939,885,2646,18290
"WEST BENGAL","UTTAR DINAJPUR",956,1241,489,559,3245
"ANDAMAN & NICOBARS","ANDAMAN",476,334,244,1,1055
"ANDAMAN & NICOBARS","NICOBARS",1,22,11,10,44
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",299,167,41,10,517
"PONDICHERRY","KARAIKAL",0,6,0,0,6
"PONDICHERRY","YANAM",0,0,0,324,324
