-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical breakdown,Constraints in utilisation - Less water discharge,Constraints in utilisation - Storage siltation,Constraints in utilisation - Channel break down,Constraints in utilisation - Other reasons,Total,Total in use
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,312,22,0,1,0,0,0,23,335
ANDHRA PRADESH,NALGONDA,MELLACHERVU,222,0,0,2,0,0,0,2,224
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,301,0,0,141,0,0,0,141,442
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,MUNAGALA,0,0,0,2,0,0,0,2,2
ANDHRA PRADESH,NALGONDA,NADIGUDEM,29,78,0,1,0,0,0,79,108
ANDHRA PRADESH,NALGONDA,NERED CHERLA,132,77,0,15,14,0,12,118,250
ANDHRA PRADESH,NALGONDA,NIDAMANUR,10,0,0,1,0,0,0,1,11
ANDHRA PRADESH,NALGONDA,PEDDAVURA,30,0,0,341,0,0,0,341,371
ANDHRA PRADESH,NALGONDA,PENPAHAD,16,0,0,3,0,0,0,3,19
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,3,1,0,2,0,0,0,3,6
ANDHRA PRADESH,NALGONDA,THRIPURARAM,10,0,0,6,0,0,0,6,16
ANDHRA PRADESH,NALGONDA,VEMULAPALLE,7,0,0,3,0,0,0,3,10
ANDHRA PRADESH,NELLORE,ALLUR,59,2,0,0,0,0,4,6,65
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,1,0,0,2,6,0,0,8,9
ANDHRA PRADESH,NELLORE,ATMAKUR,11,5,0,36,0,0,0,41,52
ANDHRA PRADESH,NELLORE,BALAYAPALLE,284,2,0,1,0,0,0,3,287
ANDHRA PRADESH,NELLORE,BUTCHIREDDIPALEM,21,0,0,3,0,0,0,3,24
ANDHRA PRADESH,NELLORE,CHEJERLA,84,0,0,0,0,0,1,1,85
ANDHRA PRADESH,NELLORE,CHILLAKUR,118,0,0,0,0,0,0,0,118
ANDHRA PRADESH,NELLORE,CHITTAMUR,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,NELLORE,DAGADARTHI,1,0,0,3,0,0,0,3,4
ANDHRA PRADESH,NELLORE,DAKKILI,3,1,1,142,0,0,0,144,147
ANDHRA PRADESH,NELLORE,DUTTALUR,17,0,0,31,0,0,0,31,48
ANDHRA PRADESH,NELLORE,GUDUR,1,0,0,1,0,0,0,1,2
ANDHRA PRADESH,NELLORE,KALIGIRI,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,NELLORE,KALUVOYA,48,0,0,12,0,0,0,12,60
ANDHRA PRADESH,NELLORE,KAVALI,1,0,0,23,0,0,0,23,24
ANDHRA PRADESH,NELLORE,KONDAPURAM,25,0,1,35,0,0,0,36,61
ANDHRA PRADESH,NELLORE,MANUBOLU,4,0,0,0,0,0,0,0,4
ANDHRA PRADESH,NELLORE,MARRIPADU,10,0,0,91,0,0,0,91,101
ANDHRA PRADESH,NELLORE,NELLORE,119,0,0,1,0,0,0,1,120
ANDHRA PRADESH,NELLORE,PODLAKUR,516,1,1,0,0,0,10,12,528
ANDHRA PRADESH,NELLORE,RAPUR,49,0,0,3,0,0,0,3,52
ANDHRA PRADESH,NELLORE,SANGAM,222,0,0,0,0,0,0,0,222
ANDHRA PRADESH,NELLORE,SULLURPETA,44,0,0,0,0,0,0,0,44
ANDHRA PRADESH,NELLORE,SYDAPURAM,119,0,0,5,0,0,0,5,124
ANDHRA PRADESH,NELLORE,TADA,14,0,0,126,0,0,0,126,140
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,98,0,0,1,0,0,0,1,99
ANDHRA PRADESH,NELLORE,VENKATACHALAM,51,2,1,14,0,0,0,17,68
ANDHRA PRADESH,NELLORE,VENKATAGIRI,94,0,0,1,0,0,0,1,95
