-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"RAJASTHAN","JALORE",0,0,0,72,167,0,239
"RAJASTHAN","JHALAWAR",0,0,0,370,528,5,903
"RAJASTHAN","JHUNJHUNU",0,0,0,17,4,0,21
"RAJASTHAN","JODHPUR",2,2,0,675,625,1,1305
"RAJASTHAN","KAROLI",104,0,1,2737,1359,4,4205
"RAJASTHAN","KOTA",43,13,31,3139,6933,20,10179
"RAJASTHAN","NAGAUR",4,1,1,176,329,6,517
"RAJASTHAN","PALI",7,0,0,492,280,6,785
"RAJASTHAN","RAJSAMAND",0,0,0,37,33,0,70
"RAJASTHAN","SAWAI MADHOPUR",1,0,1,791,833,1,1627
"RAJASTHAN","SIKAR",0,0,1,94,123,0,218
"RAJASTHAN","SIROHI",0,0,0,1,6,0,7
"RAJASTHAN","TONK",0,0,0,29,18,0,47
"RAJASTHAN","UDAIPUR",4,1,1,235,432,0,673
"TAMIL NADU","COIMBATORE",1,0,0,28,228,0,257
"TAMIL NADU","CUDDALORE",0,0,0,68,30753,15,30836
"TAMIL NADU","DHARMAPURI",0,0,0,18,316,0,334
"TAMIL NADU","DINDIGUL",7,0,0,63,289,0,359
"TAMIL NADU","ERODE",0,1,0,175,862,0,1038
"TAMIL NADU","KANCHEEPURAM",6,1,0,5,4998,1,5011
"TAMIL NADU","KANYAKUMARI",0,0,0,1,338,0,339
"TAMIL NADU","KARUR",1,0,0,3,548,3,555
"TAMIL NADU","MADURAI",3,0,1,71,388,4,467
"TAMIL NADU","NAGAPATTINAM",0,0,0,0,17262,0,17262
