-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MADHYA PRADESH,JABALPUR,SIHORA,48,291,1259,26,3,5,46,1678
MADHYA PRADESH,JHABUA,ALIRAJPUR,15,1565,901,35,0,2,587,3105
MADHYA PRADESH,JHABUA,BHABHARA,8,276,862,0,0,3,272,1421
MADHYA PRADESH,JHABUA,JHABUA,5,107,160,0,2,0,1298,1572
MADHYA PRADESH,JHABUA,JOBAT,0,1033,417,4,2,1,323,1780
MADHYA PRADESH,JHABUA,KATTHIWADA,0,168,604,14,3,0,95,884
MADHYA PRADESH,JHABUA,MEGHNAGAR,1,1101,504,0,0,0,287,1893
MADHYA PRADESH,JHABUA,PETLAWAD,3,3199,1593,4,1,2,962,5764
MADHYA PRADESH,JHABUA,RAMA,0,1020,764,0,1,0,287,2072
MADHYA PRADESH,JHABUA,RANAPUR,4,32,7,0,0,0,1282,1325
MADHYA PRADESH,JHABUA,SONDWA,2,524,526,0,0,0,186,1238
MADHYA PRADESH,JHABUA,THANDLA,3,1324,659,17,0,1,535,2539
MADHYA PRADESH,JHABUA,UDAIGARH,6,555,681,0,0,0,196,1438
MADHYA PRADESH,KATNI,BADWARA,597,1401,1246,2,0,4,26,3276
MADHYA PRADESH,KATNI,BAHORIBAND,61,846,1349,4,0,3,1,2264
MADHYA PRADESH,KATNI,DHIMAR KHERA,43,407,640,1,2,0,3,1096
MADHYA PRADESH,KATNI,KATNI,179,994,487,1,5,2,7,1675
