-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,KARIMNAGAR,KORATLA,56,0,0,0,0,56
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,34,0,0,0,0,34
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,56,0,0,0,0,56
ANDHRA PRADESH,KARIMNAGAR,MALLAPUR,54,1,0,0,0,55
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,57,4,0,0,0,61
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,217,0,0,0,0,217
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,117,4,1,0,0,122
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,18,74,0,0,0,92
ANDHRA PRADESH,KARIMNAGAR,METPALLE,51,1,0,0,0,52
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,64,1,0,0,0,65
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,46,0,0,0,0,46
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,23,60,0,0,0,83
ANDHRA PRADESH,KARIMNAGAR,ODELA,101,52,0,0,0,153
ANDHRA PRADESH,KARIMNAGAR,PEDDAPALLE,33,118,0,0,0,151
ANDHRA PRADESH,KARIMNAGAR,PEGADAPALLE,75,7,0,0,0,82
ANDHRA PRADESH,KARIMNAGAR,RAIKAL,83,3,0,0,0,86
ANDHRA PRADESH,KARIMNAGAR,RAMADUGU,94,0,0,0,0,94
ANDHRA PRADESH,KARIMNAGAR,RAMAGUNDAM,87,22,0,0,0,109
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,72,21,0,0,0,93
ANDHRA PRADESH,KARIMNAGAR,SARANGAPUR,13,49,0,0,0,62
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,74,11,0,0,0,85
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,116,0,0,0,0,116
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,177,0,0,0,0,177
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,106,1,0,0,0,107
ANDHRA PRADESH,KARIMNAGAR,VEENAVANKA,10,158,0,0,0,168
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,40,0,0,0,0,40
ANDHRA PRADESH,KARIMNAGAR,VEMULAWADA,85,0,0,0,0,85
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,61,0,0,0,0,61
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,29,13,0,1,0,43
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,40,84,0,11,0,135
ANDHRA PRADESH,KHAMMAM,BAYYARAM,28,33,0,0,0,61
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,43,29,5,1,0,78
ANDHRA PRADESH,KHAMMAM,BONAKAL,12,8,0,3,0,23
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,45,4,0,0,0,49
