-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,32,32,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,888,888,68,11,0
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,258,259,0,0,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,869,869,212,0,0
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,724,724,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,2374,2340,40,0,0
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,889,889,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,4032,4032,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,2613,2625,789,0,0
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,1841,1841,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KADIAM,98,98,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,324,268,0,56,0
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,3987,3987,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,2004,2004,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,309,166,166,0,0
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,53,53,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,1145,1108,0,50,0
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,4686,4686,2,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),222,209,159,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,2514,2514,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,2170,1842,122,0,216
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,1444,1444,2,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1893,1897,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,600,594,174,7,2
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,2841,2729,512,0,0
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,1763,1765,0,0,0
ANDHRA PRADESH,EAST GODAVARI,TUNI,2124,2099,0,30,0
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,889,888,32,1,0
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1234,734,0,500,0
ANDHRA PRADESH,GUNTUR,ACHAMPETA,122,122,0,0,0
ANDHRA PRADESH,GUNTUR,AMARAVATHI,192,192,0,0,0
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,161,175,8,0,0
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,844,851,0,0,0
