-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MADHYA PRADESH","UJJAIN",195,2425,2620,672,6072,6744,410,4011,4421
"MADHYA PRADESH","UMARIA",6,1156,1162,105,4681,4786,50,3503,3553
"MADHYA PRADESH","VIDISHA",12,12239,12251,98,53603,53700,72,34851,34923
"MAHARASHTRA","AHMEDNAGAR",4,1628,1632,148,3298,3447,148,2490,2638
"MAHARASHTRA","AKOLA",44,344,388,329,787,1116,251,673,925
"MAHARASHTRA","AMRAVATI",1,202,203,56,565,621,56,411,467
"MAHARASHTRA","AURANGABAD",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","BEED",231,283,514,334,1053,1386,334,876,1210
"MAHARASHTRA","BHANDARA",21,78,99,2002,236,2238,568,216,784
"MAHARASHTRA","BULDANA",0,339,339,0,884,884,0,741,741
"MAHARASHTRA","CHANDRAPUR",113,235,348,3122,3075,6197,3064,2952,6015
"MAHARASHTRA","DHULE",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","GADCHIROLI",11,13,24,149,202,351,149,197,346
"MAHARASHTRA","GONDIYA",11,10,21,575,158,733,450,158,608
"MAHARASHTRA","HINGOLI",15,789,804,96,3570,3666,44,1631,1675
"MAHARASHTRA","JALGAON",0,55,55,0,2264,2264,0,661,661
"MAHARASHTRA","JALNA",12,2,14,465,239,704,0,0,0
"MAHARASHTRA","KOLHAPUR",83,3986,4069,6290,15956,22246,5833,14291,20124
"MAHARASHTRA","LATUR",0,2396,2396,0,5911,5911,0,5606,5606
"MAHARASHTRA","NAGPUR",9,285,294,381,5331,5713,365,4236,4600
"MAHARASHTRA","NANDED",128,4178,4306,718,11256,11973,542,8908,9450
"MAHARASHTRA","NANDURBAR",0,54,54,0,162,162,0,162,162
"MAHARASHTRA","NASHIK",1,1066,1067,10,1553,1563,10,1551,1561
"MAHARASHTRA","OSMANABAD",0,1527,1527,0,4271,4271,0,3132,3132
"MAHARASHTRA","PARBHANI",15,1538,1553,344,5966,6310,270,2755,3026
"MAHARASHTRA","PUNE",1,3,4,32,1,33,30,1,31
"MAHARASHTRA","RAIGHAR",2,153,155,1,261,262,1,222,223
"MAHARASHTRA","RATNAGIRI",8,188,196,93,318,411,34,213,248
"MAHARASHTRA","SANGLI",751,5539,6290,31782,20845,52627,23778,16714,40492
"MAHARASHTRA","SATARA",669,4797,5466,16029,12363,28392,15984,12358,28342
"MAHARASHTRA","SINDHUDURGA",242,1750,1992,523,3192,3715,397,2344,2741
"MAHARASHTRA","SOLAPUR",195,12737,12932,1126,29998,31123,901,19855,20756
"MAHARASHTRA","THANE",0,250,250,0,422,422,0,410,410
"MAHARASHTRA","WARDHA",12,108,120,39,1937,1976,2,1207,1210
"MAHARASHTRA","WASHIM",0,688,688,0,2539,2539,0,2354,2354
"MAHARASHTRA","YAVATMAL",0,3144,3144,0,9111,9111,0,6590,6590
"MANIPUR","IMPHAL EAST",2,4,6,227,230,457,190,200,390
"MANIPUR","IMPHAL WEST",18,0,18,3165,0,3165,1834,0,1834
"MANIPUR","THOUBAL",18,0,18,2388,0,2388,2261,0,2261
"MEGHALAYA","EAST GARO HILLS",1,0,1,80,0,80,80,0,80
"MEGHALAYA","JAINTIA HILLS",2,0,2,605,0,605,105,0,105
"MEGHALAYA","WEST GARO HILLS",0,0,0,0,0,0,0,0,0
"MIZORAM","CHAMPHAI",0,0,0,0,0,0,0,0,0
"MIZORAM","KOLASIB",0,4,4,0,16,16,0,10,10
"MIZORAM","MAMIT",0,1,1,0,2,2,0,1,1
