-----
{
 "description": "The table refers to District wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.1.csv", 
 "title": "Download CSV for Districtwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"BIHAR","NALANDA",9758,2671,2392,1963,1736,1265,691,562,21038
"BIHAR","NAWADA",7142,4420,4048,942,357,280,150,139,17478
"BIHAR","PATNA",12800,4365,4099,2712,2007,1176,495,276,27930
"BIHAR","PURNIA",6063,3051,3024,3218,3073,2222,1280,509,22440
"BIHAR","ROHTAS(SASARAM)",10795,2027,2096,1602,1607,996,1139,623,20885
"BIHAR","SAHARSA",1913,1241,1653,1986,2174,1796,766,255,11784
"BIHAR","SAMASTIPUR",13091,5209,4506,3412,2254,1572,899,487,31430
"BIHAR","SARAN",13431,3298,2000,1588,1221,833,514,127,23012
"BIHAR","SHEKHPURA",1737,886,738,551,374,255,107,91,4739
"BIHAR","SHEOHAR",3516,829,661,421,326,262,163,55,6233
"BIHAR","SITAMARHI",12930,2412,1232,693,447,272,220,97,18303
"BIHAR","SIWAN",19708,3753,2109,1236,777,595,261,213,28652
"BIHAR","SUPAUL",3658,1678,1774,1860,1634,2013,1227,397,14241
"BIHAR","VAISHALI",10228,4658,3386,2567,1645,1381,890,512,25267
"BIHAR","WEST CHAMPARAN",7640,2722,2477,1734,1601,940,523,222,17859
"CHANDIGARH","UT CHANDIGARH",70,7,7,19,8,12,1,8,132
"CHHATTISGARH","BASTER",62,36,55,25,37,52,37,1755,2059
"CHHATTISGARH","BILASPUR",10704,207,271,311,341,470,562,527,13393
"CHHATTISGARH","DANTEWADA",4,1,3,2,5,6,8,174,203
"CHHATTISGARH","DHAMTARI",2848,995,873,986,1001,899,504,1557,9663
"CHHATTISGARH","DURG",5918,1153,1418,1226,1353,1373,1221,1884,15546
"CHHATTISGARH","JANJGIR-CHAMPA",6638,238,315,234,309,307,283,162,8486
"CHHATTISGARH","JASHPUR",73,1,0,5,1,6,2,8,96
"CHHATTISGARH","KANKER",138,76,124,110,113,127,142,129,959
"CHHATTISGARH","KORBA",172,7,1,3,3,4,3,10,203
"CHHATTISGARH","KORIA",64,0,4,1,2,2,0,5,78
"CHHATTISGARH","KVARDHA",610,127,193,197,246,203,221,1547,3344
"CHHATTISGARH","MAHASAMUND",445,121,195,325,393,387,341,1762,3969
"CHHATTISGARH","RAIGARH",13041,332,448,589,697,830,746,498,17181
"CHHATTISGARH","RAIPUR",1778,300,560,552,763,997,1096,2446,8492
"CHHATTISGARH","RAJNANDGAON",406,72,92,67,96,170,174,959,2036
"CHHATTISGARH","SURGUJA",656,23,38,26,23,44,14,43,867
"DELHI","ALIPUR",2069,1342,921,678,429,282,135,59,5915
"DELHI","NAJAFGARH",2907,81,60,38,28,16,4,1,3135
"DELHI","NANGLOI",485,30,50,22,12,34,4,5,642
"DELHI","SHADARA-NORTHEAST",141,1,2,0,0,0,0,0,144
"DELHI","SHAHDARA-EAST",462,15,6,8,0,9,3,4,507
"GOA","NORTH GOA",6,0,1,0,0,3,3,1,14
"GOA","SOUTH GOA",7,1,0,6,1,0,1,0,16
"GUJARAT","AHMEDABAD",214,141,82,43,35,22,41,39,617
"GUJARAT","AMRELI",938,38,44,62,76,19,7,7,1191
