-----
{
 "description": "The table refers to Village wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.1.csv", 
 "title": "Download CSV for Villagewise Construction of Dugwells over the years(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.1.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,MEDAK,PAPANNAPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,PULKAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,SADASIVPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),0,150,150,0,182,182,0,164,164
ANDHRA PRADESH,NALGONDA,ANUMULA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,CHILKUR,1,65,66,379,304,682,189,204,393
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,2,897,899,9,1698,1708,2,377,380
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,0,237,237,0,892,892,0,781,781
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,2,251,253,38,1088,1126,34,919,953
ANDHRA PRADESH,NALGONDA,KETHEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,KODAD,0,588,588,0,2943,2943,0,2754,2754
ANDHRA PRADESH,NALGONDA,MATTAMPALLE,9,199,208,55,439,495,55,437,493
ANDHRA PRADESH,NALGONDA,MELLACHERVU,0,1,1,0,1,1,0,1,1
ANDHRA PRADESH,NALGONDA,MIRYALAGUDA,0,425,425,0,1861,1861,0,1513,1513
ANDHRA PRADESH,NALGONDA,MOTHEY,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,MUNAGALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,NADIGUDEM,1,80,81,728,191,919,324,164,487
ANDHRA PRADESH,NALGONDA,NERED CHERLA,5,190,195,7,456,463,6,362,368
ANDHRA PRADESH,NALGONDA,NIDAMANUR,2,4,6,147,286,433,147,286,433
ANDHRA PRADESH,NALGONDA,PEDDAVURA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NALGONDA,PENPAHAD,0,4,4,0,18,18,0,13,13
ANDHRA PRADESH,NALGONDA,RAMANNAPETA,0,2,2,0,9,9,0,7,7
ANDHRA PRADESH,NALGONDA,THRIPURARAM,0,1,1,0,224,224,0,224,224
