-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MADHYA PRADESH","UMARIA",4,549,553,44,3164,3209,41,2335,2376
"MADHYA PRADESH","VIDISHA",2,9833,9835,10,56972,56982,10,46439,46449
"MAHARASHTRA","AHMEDNAGAR",198,10605,10803,861,28395,29256,814,25769,26582
"MAHARASHTRA","AKOLA",0,213,213,0,706,706,0,403,403
"MAHARASHTRA","AMRAVATI",0,129,129,0,327,327,0,162,162
"MAHARASHTRA","AURANGABAD",6,1282,1288,11,3505,3516,3,1449,1452
"MAHARASHTRA","BEED",0,461,461,0,3494,3494,0,2530,2530
"MAHARASHTRA","BHANDARA",6,49,55,0,143,143,0,112,112
"MAHARASHTRA","BULDANA",0,458,458,0,964,964,0,837,837
"MAHARASHTRA","CHANDRAPUR",0,138,138,0,657,657,0,647,647
"MAHARASHTRA","DHULE",9,311,320,24,780,805,4,619,623
"MAHARASHTRA","GADCHIROLI",2,135,137,2,331,333,2,331,333
"MAHARASHTRA","GONDIYA",81,123,204,5,428,433,4,264,268
"MAHARASHTRA","HINGOLI",0,3218,3218,0,11309,11309,0,5595,5595
"MAHARASHTRA","JALGAON",5,1194,1199,12,2897,2909,12,2844,2856
"MAHARASHTRA","JALNA",0,163,163,0,541,541,0,336,336
"MAHARASHTRA","KOLHAPUR",22,2317,2339,20,3911,3930,12,3122,3134
"MAHARASHTRA","LATUR",0,1036,1036,0,3996,3996,0,3120,3120
"MAHARASHTRA","NAGPUR",2,494,496,5,1722,1727,4,1134,1137
"MAHARASHTRA","NANDED",0,6761,6761,0,19917,19917,0,14907,14907
"MAHARASHTRA","NANDURBAR",1,1642,1643,1,4060,4060,1,4045,4045
"MAHARASHTRA","NASHIK",351,2219,2570,714,4681,5394,598,4677,5275
"MAHARASHTRA","OSMANABAD",4,1192,1196,0,3476,3476,0,2773,2773
"MAHARASHTRA","PARBHANI",12,2052,2064,111,5980,6091,45,3705,3749
"MAHARASHTRA","PUNE",54,3621,3675,62,8661,8723,51,8091,8142
"MAHARASHTRA","RAIGHAR",7,350,357,0,304,304,0,302,302
"MAHARASHTRA","RATNAGIRI",0,6,6,0,3,3,0,2,2
"MAHARASHTRA","SANGLI",83,4672,4755,301,8768,9069,215,8155,8370
"MAHARASHTRA","SATARA",0,1522,1522,0,3023,3023,0,2366,2366
"MAHARASHTRA","SINDHUDURGA",2,15,17,1,14,16,0,9,9
"MAHARASHTRA","SOLAPUR",16,4614,4630,52,11829,11881,36,8802,8838
"MAHARASHTRA","THANE",0,2011,2011,0,3603,3603,0,3500,3500
"MAHARASHTRA","WARDHA",32,37,69,106,440,546,0,187,187
"MAHARASHTRA","WASHIM",0,107,107,0,365,365,0,319,319
"MAHARASHTRA","YAVATMAL",0,679,679,0,2230,2230,0,1702,1702
"MANIPUR","IMPHAL EAST",3,0,3,65,0,65,15,0,15
"MEGHALAYA","WEST GARO HILLS",6,46,52,42,455,497,41,427,468
"NAGALAND","DIMAPUR",0,0,0,0,0,0,0,0,0
"ORISSA","ANGUL",2,8,10,2,11,13,1,4,5
"ORISSA","BALASORE",3,10334,10337,10,40721,40731,4,20225,20228
"ORISSA","BARGARH",3,1389,1392,7,4756,4763,5,3837,3843
"ORISSA","BHADRAK",0,3067,3067,0,10214,10214,0,4857,4857
"ORISSA","BOLANGIR",1,29,30,10,65,75,10,45,55
"ORISSA","CUTTACK",41,3385,3426,715,8233,8948,175,3917,4093
"ORISSA","DEOGARH",0,1,1,0,1,1,0,0,0
"ORISSA","DHENKANAL",0,10,10,0,50,50,0,37,37
"ORISSA","GAJAPATI",5,107,112,126,1084,1210,81,975,1056
"ORISSA","GANJAM",242,1349,1591,5756,8066,13823,2692,2650,5342
