-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"MAHARASHTRA","THANE",1494,175,1104,320,13,1613
"MAHARASHTRA","WARDHA",4295,2942,1794,677,21,5434
"MAHARASHTRA","WASHIM",4492,393,3907,204,78,4582
"MAHARASHTRA","YAVATMAL",14639,7485,7096,1111,208,15900
"MANIPUR","IMPHAL EAST",509,557,0,0,0,557
"MANIPUR","IMPHAL WEST",1907,1120,1555,20,470,3165
"MANIPUR","THOUBAL",1945,783,1415,0,380,2578
"MEGHALAYA","EAST GARO HILLS",150,150,36,0,0,186
"MEGHALAYA","JAINTIA HILLS",609,459,150,0,0,609
"MEGHALAYA","WEST GARO HILLS",163,147,44,0,0,191
"MIZORAM","CHAMPHAI",16,13,0,0,3,16
"MIZORAM","KOLASIB",73,56,20,0,17,93
"MIZORAM","MAMIT",5,3,2,0,1,6
"MIZORAM","SERCHHIP",186,151,0,0,50,201
"NAGALAND","DIMAPUR",359,278,99,0,0,377
"ORISSA","ANGUL",11806,10572,4093,178,4,14847
"ORISSA","BALASORE",4974,4130,3527,69,0,7726
"ORISSA","BARGARH",10224,9411,5299,571,49,15331
"ORISSA","BHADRAK",5012,1465,3848,3,32,5349
"ORISSA","BOLANGIR",10062,8102,2957,103,2,11164
"ORISSA","BOUDH",4334,3508,1259,0,0,4767
"ORISSA","CUTTACK",16898,12962,9289,1111,13,23374
"ORISSA","DEOGARH",2200,2064,1528,59,9,3660
"ORISSA","DHENKANAL",9188,8148,4318,243,1,12710
"ORISSA","GAJAPATI",3314,3220,1536,218,3,4977
"ORISSA","GANJAM",14359,12600,7301,635,2,20538
"ORISSA","JAGATSINGHPUR",1161,648,765,2,2,1417
"ORISSA","JAJAPUR",7545,4273,4543,30,0,8846
"ORISSA","JHARSUGUDA",3569,3443,2467,10,0,5920
"ORISSA","KALAHANDI",5164,4805,1717,60,4,6586
"ORISSA","KANDHAMAL",2980,2525,560,12,0,3097
"ORISSA","KENDRAPARA",14466,9402,12266,41,17,21725
"ORISSA","KEONJHAR",11723,10901,8068,171,152,19294
"ORISSA","KHURDA",4583,3773,2508,89,16,6385
"ORISSA","KORAPUT",8051,7901,2786,80,12,10779
"ORISSA","MALKANAGIRI",2060,1537,711,17,14,2280
"ORISSA","MAYURBHANJA",9746,7652,6805,17,5,14479
"ORISSA","NAWARANGAPUR",5431,5404,2595,124,2,8125
"ORISSA","NAYAGARH",2407,1735,686,340,72,2833
"ORISSA","NUAPADA",2705,1993,983,29,108,3113
"ORISSA","PURI",7709,618,6988,153,150,7910
"ORISSA","RAYAGADA",5801,5438,1481,129,0,7047
"ORISSA","SAMBALPUR",10139,9180,5808,97,40,15125
"ORISSA","SONEPUR",6173,5646,4119,57,0,9822
"ORISSA","SUNDARGARH",16964,11804,12182,81,6,24073
"PONDICHERRY","KARAIKAL",6,0,6,0,0,6
"PONDICHERRY","PONDICHERRY",1,1,1,0,0,2
"PUNJAB","AMRITSER",130,130,130,0,0,261
"PUNJAB","FATEHGARH SAHIB",90,87,87,3,0,178
"PUNJAB","GURDASPUR",280,279,279,0,0,559
"PUNJAB","HOSHIARPUR",174,174,174,0,14,362
"PUNJAB","MOGA",42,42,42,0,0,85
"PUNJAB","PATIALA",2952,2952,2952,0,7,5911
"PUNJAB","ROPAR",1648,1648,1648,0,0,3295
"PUNJAB","SANGRUR",6,6,6,0,0,11
"RAJASTHAN","AJMER",1065,423,1066,0,0,1489
"RAJASTHAN","BANSWARA",4141,77,4228,10,92,4407
"RAJASTHAN","BARAN",5368,1357,5290,0,0,6647
"RAJASTHAN","BHILWARA",2349,1126,2034,9,59,3229
"RAJASTHAN","BUNDI",608,131,576,0,1,708
"RAJASTHAN","CHITTORGARH",1267,341,1135,0,34,1510
"RAJASTHAN","DAUSA",125,125,0,0,0,125
"RAJASTHAN","DUNGARPUR",1421,136,1342,0,177,1655
"RAJASTHAN","JAIPUR",880,0,881,0,0,881
"RAJASTHAN","JHALAWAR",524,0,524,0,0,524
"RAJASTHAN","KOTA",1548,305,1506,0,2,1812
"RAJASTHAN","PALI",247,103,208,0,2,313
"RAJASTHAN","RAJSAMAND",182,161,167,1,0,328
"RAJASTHAN","SAWAI MADHOPUR",8,3,5,0,0,8
"RAJASTHAN","SIROHI",3,0,2,0,3,6
"RAJASTHAN","TONK",1551,16,1550,0,0,1567
"RAJASTHAN","UDAIPUR",318,15,301,0,8,325
"TAMIL NADU","COIMBATORE",2450,2141,1612,1804,85,5641
"TAMIL NADU","CUDDALORE",52,24,31,1,0,56
"TAMIL NADU","DHARMAPURI",1497,2995,42,85,34,3155
"TAMIL NADU","DINDIGUL",32,30,30,2,0,62
"TAMIL NADU","ERODE",4825,3367,2317,1721,1309,8715
"TAMIL NADU","KANCHEEPURAM",45,45,21,13,9,88
"TAMIL NADU","KARUR",1949,1378,312,281,340,2311
"TAMIL NADU","MADURAI",155,89,66,0,1,156
"TAMIL NADU","NAGAPATTINAM",2479,28,2565,0,0,2593
"TAMIL NADU","NAMAKKAL",2614,2458,151,203,5,2816
"TAMIL NADU","NILGIRIS",379,272,29,256,74,630
"TAMIL NADU","PERAMBALUR",138,88,50,5,7,150
"TAMIL NADU","SALEM",110,130,8,0,0,138
"TAMIL NADU","SIVAGANGA",38,47,0,0,0,47
"TAMIL NADU","THANJAVUR",122,85,60,7,15,167
"TAMIL NADU","THENI",295,182,119,98,6,405
"TAMIL NADU","THIRUVALLUR",1358,1157,230,37,55,1479
"TAMIL NADU","THIRUVARUR",1129,1008,121,0,0,1129
"TAMIL NADU","TIRUCHIRAPPALLI",556,460,86,100,2,648
"TAMIL NADU","TIRUNELVELI",252,120,131,8,3,263
"TAMIL NADU","TIRUVANNAMALAI",93,91,5,0,0,96
"TAMIL NADU","TUTICORIN DISTRICT",38,0,38,0,0,38
"TAMIL NADU","VELLORE",363,158,168,29,25,380
"TAMIL NADU","VILLUPPURAM",207,90,133,10,20,253
"TRIPURA","DHALAI",3665,2181,1658,71,169,4078
"TRIPURA","NORTH TRIPURA",5091,4179,2888,80,1914,9060
"TRIPURA","SOUTH TRIPURA",11522,6891,8246,373,1119,16630
"TRIPURA","WEST TRIPURA",9642,5022,7500,97,296,12915
"UTTAR PRADESH","ALIGARH",67,49,60,5,0,114
"UTTAR PRADESH","ALLAHABAD",492,155,413,66,15,649
